filename,width,height,class,xmin,ymin,xmax,ymax
33. 39272982_303.jpg,700,394,panda,51,13,634,380
73. 1suricate-590a.jpg,590,400,meerkat,217,64,275,400
100. giant-panda-bear-pictures0.jpg,625,450,panda,208,71,505,422
92. heidi-the-meerkat_2-1.jpg,920,460,meerkat,192,6,794,460
47. 41e24d7500000578-0-image-a-22_1498765384176.jpg,634,653,pomeranian,143,117,567,569
73. 1suricate-590a.jpg,590,400,meerkat,476,42,576,367
72. pandas2.jpg,620,350,panda,111,10,323,350
97. skippy_photo-2-600x600.jpg,600,600,pomeranian,41,60,544,566
32. pomeranian-names-1-final.jpg,800,481,pomeranian,286,94,491,435
32. 22116230-22116230.jpg,900,506,otter,154,166,648,462
123512512351.jpg,275,183,meerkat,127,44,253,171
90. main-qimg-291cb2620cc09c8ccb9fcfa264181ea5-c.jpg,600,399,meerkat,255,35,349,380
65. 9.jpg,799,623,otter,120,69,647,546
21. baby_meerkats.jpg,1000,667,meerkat,675,114,875,667
94. a-baby-panda-fell-off-a-stage-but-dont-worry-hes-2-25672-1475256931-0_dblbig-1ujgosm.jpg,625,415,panda,352,5,612,391
17. 527175-istock-514622028.jpg,1100,618,raccoon,166,1,813,618
15. 670px-user-completed-image-take-care-of-a-pomeranian-2017.07.24-14.15.32.0.jpg,670,655,pomeranian,170,9,560,641
56. cleveland-zoo-otters.jpg,800,482,otter,480,11,800,351
12351235151.jpg,269,187,raccoon,87,54,139,117
30. mammals-raccoon-square.jpg,531,531,raccoon,76,21,531,518
FOREIGN201503131617000139594475917.jpg,850,613,panda,126,10,715,613
75. raccoon.jpg,1000,662,raccoon,63,18,746,662
100. female-sea-otter-holding-newborn-pup-out-of-water-prince-william-picture-id557059821.jpg,1024,683,meerkat,3,36,837,683
74. main-qimg-d976eadeb82569dfd08e84a410fe6b3d-c.jpg,480,319,otter,1,38,428,269
55. murray-37.jpg,1024,507,otter,121,27,640,507
125125123.jpg,308,450,meerkat,43,33,289,436
64. otter.jpg,500,365,otter,57,47,499,285
68. main-qimg-1c8e3aecb21bd7858f1c519d75bbe742-c.jpg,602,452,raccoon,159,65,580,394
90. main-qimg-291cb2620cc09c8ccb9fcfa264181ea5-c.jpg,600,399,meerkat,43,32,130,360
58. a-diligent-meerkat-keeping-watch-over-the-youngsters-makgadikgadi-pans-botswana1-734x4901.jpg,734,490,meerkat,363,62,506,403
28. otter_dc460053-2e4e-463c-b6fe-d8be1edda4db-prv.jpg,695,444,otter,85,63,590,379
66. meerkat2-1.jpg,960,612,meerkat,297,79,461,492
37. animal-hero-meerkat.jpg,1020,582,meerkat,244,73,764,582
IMG_6744.jpg,740,493,pomeranian,240,106,487,439
201802230715566788_t.jpg,1280,720,panda,488,187,874,501
32. pomeranian-names-1-final.jpg,800,481,pomeranian,66,71,280,414
20. 4329b34500000578-0-image-a-154_1502463928968.jpg,962,657,panda,38,1,756,627
200006126-610bac30-c441-430a-9784-94027ab106ca.jpg,885,560,otter,68,1,811,560
250px-Cozumel_Raccoon2.jpg,250,204,raccoon,26,17,225,194
IE001102392_STD.jpg,500,335,panda,220,135,362,274
62. 7701190.jpg,550,334,pomeranian,155,52,404,237
4. meerkatmobmouthopencropped.jpg,600,315,meerkat,142,178,304,315
75. ahr0cdovl3d3dy5saxzlc2npzw5jzs5jb20vaw1hz2vzl2kvmdawlza5ns8zndqvb3jpz2luywwvt05fx1rjtuvfvvnfx3bhbmrhx2jhc2lfms5qcgc=.jpg,660,440,panda,134,26,534,439
21. pomeranianpurebreddogredcolorjazzyjames10yearsoldtim1.jpg,450,449,pomeranian,24,14,432,425
50. .jpg,800,420,pomeranian,441,17,784,403
93. main_900.jpg,900,623,panda,350,346,506,440
40. riverotter.jpg,480,480,otter,31,104,240,480
56. meerkat-teeth.jpg,900,477,meerkat,190,25,766,477
85. meerkats-1024x683.jpg,1024,683,meerkat,262,24,543,229
82. raccoon-removal-tcf.jpg,450,300,raccoon,146,107,300,283
80. adobestock_3735543-224359.jpg,660,300,raccoon,147,8,654,297
30078492_2033247100334632_3567392560383000576_n.jpg,1080,1080,raccoon,52,30,887,1080
5. otter-asian-baby.jpg,1000,667,otter,93,237,519,581
201805031526415641_t.jpg,1280,720,panda,343,53,1008,667
94. a-baby-panda-fell-off-a-stage-but-dont-worry-hes-2-25672-1475256931-0_dblbig-1ujgosm.jpg,625,415,panda,1,120,294,352
36. cfbe2a99f6bf8be39f0e5cdddec413ba.jpg,500,750,raccoon,20,4,488,750
36. ap-bao-bao-ml-170221_mn_4x3_992.jpg,992,744,panda,244,103,724,741
24. baby-otter-ecotarium.jpg,645,429,otter,48,6,593,429
17. 9b6628cf124c97e1e133778784ae7cde.jpg,744,496,panda,105,10,472,261
P1120218.jpg,515,327,raccoon,51,36,402,313
75. do-meerkat-moms-use-meerkat.jpg,560,560,meerkat,146,8,434,560
2013101702041_0.jpg,650,433,panda,26,72,419,381
3. hh-us-lc-animals-raccoon-facts-1.jpg,411,309,raccoon,33,2,397,297
53. wlds47_otters_1073x744.jpg,634,440,otter,81,126,174,274
4. pomeranian-dog-500x500.jpg,500,500,pomeranian,70,45,399,469
85. meerkats-1024x683.jpg,1024,683,meerkat,371,483,580,683
3zeOqFqu_400x400.jpg,313,313,raccoon,10,3,313,311
67. pomeranianpurebreddogchewiepuppy4monthsold1.jpg,397,500,pomeranian,19,68,377,500
33. sitting+pomeranian+puppy+statue.jpg,353,353,pomeranian,55,6,322,351
wd-ep2-otters_480x360.jpg,480,360,otter,88,1,469,360
1234551325.jpg,275,183,pomeranian,49,14,207,181
92. raccoonkill600b.jpg,600,400,raccoon,168,14,570,365
84. pomeranian-800.jpg,800,513,pomeranian,326,65,632,435
60. pomeranian-50tube-dog_2048x.jpg,800,800,pomeranian,49,67,472,790
image_1519884613910_750.jpg,750,500,pomeranian,298,51,572,448
63. pizzapug11.jpg,750,333,pomeranian,143,9,668,333
96. tile-panda-fi-2017-600x315.jpg,600,315,panda,119,15,353,315
45. meerkat-group-on-rock.ngsversion.1412704191900.adapt.945.1.jpg,945,531,meerkat,34,1,276,531
16. meerkat-facts-1.jpg,635,404,meerkat,151,8,528,404
18. image-383815-860_poster_16x9-gcyu-383815.jpg,860,484,raccoon,290,50,674,413
3. animal-hero-panda3.jpg,1020,582,panda,230,10,867,582
66. meerkat2-1.jpg,960,612,meerkat,712,50,848,513
61. _59823448_cimg2880.jpg,624,351,meerkat,116,34,422,351
81. picture1-424x299.jpg,424,299,panda,37,99,339,274
14. a-diligent-meerkat-keeping-watch-over-the-youngsters-makgadikgadi-pans-botswana1-734x4901-1-e1472121268216.jpg,543,343,meerkat,113,249,229,343
75. 3-80.jpg,404,533,pomeranian,81,44,346,466
77. meerkat_standing_guard_0.jpg,1000,667,meerkat,399,134,586,523
62. sea-otters-michael-peters-dpc.jpg,700,382,otter,290,96,559,353
89. riverotter.jpg,640,480,otter,141,16,587,455
86. sea-otters-holding-hands-1-copy.jpg,800,600,otter,278,1,800,566
30. 8997044-3x2-700x467.jpg,700,467,meerkat,149,90,623,363
46. nintchdbpict000277673156-e1477526912789.jpg,960,641,otter,20,102,618,461
35. p056c89n.jpg,624,351,otter,9,54,590,265
49. raccoonportrait.jpg,335,477,raccoon,10,60,335,442
29. meerkat1.jpg,750,330,meerkat,321,50,456,302
95. 032317panda_640x360.jpg,640,360,panda,137,13,562,360
44. sold__handmade_poseable_baby_panda__glummy_bear__by_wood_splitter_lee-d964mvo.jpg,900,651,panda,206,164,744,586
29. 36940534_401.jpg,700,394,panda,246,193,418,324
234523623462.jpg,225,224,pomeranian,54,30,192,224
60. 57571940dd08950e5e8b4bf5-750-562.jpg,750,562,raccoon,459,64,720,476
70. meerkatstarongaheader.jpg,1024,560,meerkat,28,26,530,510
49. meerkat-mating-competitive-eating.jpg,900,600,meerkat,746,323,886,557
16. 0001-77274653.jpg,1000,560,pomeranian,259,20,1000,498
56. basi_panda.jpg,652,338,panda,111,13,463,338
28158785_2068943686709374_3970083699008995328_n.jpg,480,480,pomeranian,47,62,330,393
43. pomeranian.teacup_sale_puppies_cute_whitepomeranian_white_15_1024x1024.jpg,1024,683,pomeranian,285,84,643,592
3. sea_otter_cropped.jpg,714,555,otter,54,68,714,471
44. raccoon8.jpg,670,487,raccoon,6,4,658,462
63. sea-otters-tony-trupp-dpc.jpg,498,272,otter,96,8,270,118
1. raccoon-grass.adapt.945.1.jpg,945,531,raccoon,227,35,878,508
m7am2of79lm7fga1vhkx.jpg,700,400,raccoon,13,3,292,400
33. potd-meercat_2467036c.jpg,460,287,meerkat,190,26,460,281
40. gettyimages-611382876.jpg,625,422,panda,234,50,408,200
18. meerkat_1.jpg,640,395,meerkat,210,55,437,390
73. giant-panda1-706x456.jpg,706,456,panda,58,8,566,456
56. raccoon.jpg,660,432,raccoon,8,3,429,432
84. aleksandr-orlov---meerkat-001.jpg,1200,630,meerkat,246,37,704,630
72. 4541137520385b7cada11997129efb31.jpg,564,1003,otter,9,11,564,889
21041548_1376723639111908_9146759711603818496_n.jpg,480,480,raccoon,78,50,472,346
82. raccoon-removal-tcf.jpg,450,300,raccoon,29,44,161,246
